user_id,toponym_text,is_travel,dist_from_home,human_answer,gcn_answer,gcn_correct,dist_answer,dist_correct,pop_answer,pop_correct
user_00b5310f,Dallas,True,306.067176281366,Dallas (TX),Dallas (PA),False,Dallas (TX),True,Dallas (PA),False
user_02017000,Andover,False,14.627142311891769,Andover (MA),Andover (MA),True,Andover (MA),True,Andover (MA),True
user_023b236d,Atlanta,True,900.0509480223,Atlanta (GA),Atlanta (MI),False,Atlanta (MI),False,Atlanta (GA),True
user_0244a57d,Bowie,False,8.594601259628018,Bowie (MD),Bowie (MD),True,Bowie (MD),True,Bowie (MD),True
user_02610fd8,Providence,False,249.30172897947222,Providence (RI),Providence (RI),True,Providence (RI),True,Providence (RI),True
user_03b8fb7a,Harlem,False,6.084675884741152,Harlem (NY),Harlem (NY),True,Harlem (NY),True,Harlem (NY),True
user_041e2cc5,San Diego,True,3474.4817623781164,San Diego (CA),San Diego (TX),False,San Diego (TX),False,San Diego (CA),True
user_048a2452,Manhattan,False,8.330039178639199,Manhattan (NY),Manhattan (NY),True,Manhattan (NY),True,Manhattan (NY),True
user_052ef72f,Brooklyn,False,27.71661583821845,Brooklyn (NY),Brooklyn (NY),True,Brooklyn (NY),True,Brooklyn (NY),True
user_056a2eb2,Hampton,True,448.2307821995827,Hampton (VA),Hampton (NJ),False,Hampton (NJ),False,Hampton (VA),True
user_060389a4,Manhattan,False,122.85574277263414,Manhattan (NY),Manhattan (NY),True,Manhattan (NY),True,Manhattan (NY),True
user_067bc0d1,Inwood,False,6.043661514455277,Inwood (NY),Inwood (NY),True,Inwood (NY),True,Inwood (NY),True
user_069f004b,Harlem,False,2.4430342331885053,Harlem (NY),Harlem (NY),True,Harlem (NY),True,Harlem (NY),True
user_08785d86,Harlem,False,21.824060736491738,Harlem (NY),Harlem (NY),True,Harlem (NY),True,Harlem (NY),True
user_0939608f,Lakewood,False,74.45499129969073,Lakewood (NJ),Lakewood (NJ),True,Lakewood (NJ),True,Lakewood (NJ),True
user_097f7403,Denver,True,1409.417860935213,Denver (CO),Denver (IA),False,Denver (CO),True,Denver (CO),True
user_0a36ec73,Oakland,False,8.912968526341173,Oakland (CA),Oakland (FL),False,Oakland (CA),True,Oakland (CA),True
user_0a4990ad,Homestead,False,45.59659345914403,Homestead (FL),Homestead (FL),True,Homestead (FL),True,Homestead (FL),True
user_0a851218,Memphis,True,1029.8952881828657,Memphis (TN),Memphis (MI),False,Memphis (MI),False,Memphis (TN),True
user_0aa401cd,Miami,True,961.0891150867463,Miami (FL),Miami (FL),True,Miami (FL),True,Miami (FL),True
user_0aa9e025,Wilson,True,331.80814316190987,Wilson (NC),Wilson (NC),True,Wilson (NC),True,Wilson (NC),True
user_0b51ba66,Atlanta,False,154.42396769401188,Atlanta (GA),Atlanta (GA),True,Atlanta (GA),True,Atlanta (GA),True
user_0bcff647,Miami,True,1648.2854670530587,Miami (FL),Miami (FL),True,Miami (FL),True,Miami (FL),True
user_0c840529,Nashville,False,195.0659869878843,Nashville (TN),Nashville (TN),True,Nashville (TN),True,Nashville (TN),True
user_0c88b35d,Miami,False,2.5031615668257308,Miami (FL),Miami (FL),True,Miami (FL),True,Miami (FL),True
user_0d1081cf,Miami,True,520.8910741942212,Miami (FL),Miami (FL),True,Miami (FL),True,Miami (FL),True
user_0debbad8,Atlanta,False,3.2589795285036116,Atlanta (GA),Atlanta (GA),True,Atlanta (GA),True,Atlanta (GA),True
user_0dfb115e,Hollywood,False,0.3916250655560936,Hollywood (CA),Hollywood (CA),True,Hollywood (CA),True,Hollywood (CA),True
user_0e1805ca,Miami,True,1303.5191143016002,Miami (FL),Miami (OK),False,Miami (FL),True,Miami (FL),True
user_0e22c69a,Birmingham,False,8.342386491432375,Birmingham (AL),Birmingham (AL),True,Birmingham (AL),True,Birmingham (AL),True
user_0f5f5078,Elizabeth,False,48.3336279622597,Elizabeth (NJ),Elizabeth (NJ),True,Elizabeth (NJ),True,Elizabeth (NJ),True
user_0f67716d,Houston,False,17.984994922530195,Houston (TX),Houston (MS),False,Houston (TX),True,Houston (TX),True
user_0fbba2e7,Miami,True,1144.3646906904598,Miami (FL),Miami (FL),True,Miami (FL),True,Miami (FL),True
user_10cb7fc7,Montclair,False,14.443350588471315,Montclair (NJ),Montclair (CA),False,Montclair (NJ),True,Montclair (NJ),True
user_1164a8c8,Brooklyn,False,18.327416773335205,Brooklyn (NY),Brooklyn (NY),True,Brooklyn (NY),True,Brooklyn (NY),True
user_118837a7,MIAMI,True,1172.3905516013672,Miami (FL),Miami (FL),True,Miami (OK),False,Miami (FL),True
user_12323ce3,Decatur,False,19.8739613952404,Decatur (GA),Decatur (GA),True,Decatur (GA),True,Decatur (GA),True
user_13aa4f3e,Miami,True,2064.6708794332817,Miami (FL),Miami (FL),True,Miami (FL),True,Miami (FL),True
user_13f1924a,Vienna,False,24.481549641752654,Vienna (VA),Vienna (MO),False,Vienna (VA),True,Vienna (VA),True
user_14826dab,Austin,True,2116.435770598212,Austin (TX),Austin (IN),False,Austin (IN),False,Austin (TX),True
user_14c7e787,Brooklyn,False,18.143585122492688,Brooklyn (NY),Brooklyn (NY),True,Brooklyn (NY),True,Brooklyn (NY),True
user_15c7c170,Harlem,False,1.6141849328251443,Harlem (NY),Harlem (NY),True,Harlem (NY),True,Harlem (NY),True
user_16033b01,Boston,True,627.8015405275262,Boston (MA),Boston (NY),False,Boston (NY),False,Boston (MA),True
user_161c56a9,Woodbury,False,81.7156639956224,Woodbury (NY),Woodbury (NJ),False,Woodbury (NY),False,Woodbury (NY),False
user_16857378,Wickliffe,False,93.71035684546887,Wickliffe (OH),Wickliffe (OH),True,Wickliffe (OH),True,Wickliffe (OH),True
user_17a3238b,Ontario,False,134.7991810586515,Ontario (CA),Ontario (CA),True,Ontario (CA),True,Ontario (NY),False
user_1806ab04,Charlotte,False,103.1042280597612,Charlotte (NC),Charlotte (NC),True,Charlotte (NC),True,Charlotte (NC),True
user_1852c07a,Hollywood,False,91.78417256195364,Hollywood (CA),Hollywood (CA),True,Hollywood (CA),True,Hollywood (CA),True
user_18ae012e,Nashville,True,1220.8765337808431,Nashville (TN),Nashville (MI),False,Nashville (NC),False,Nashville (TN),True
user_18ec49ca,Brooklyn,False,28.638964446742218,Brooklyn (NY),Brooklyn (NY),True,Brooklyn (NY),True,Brooklyn (NY),True
