user_id,user_true_lat,user_true_lon,toponym,human_label_idx,selected_name,selected_state,selected_lat,selected_lon,candidate_couunt
user_00b5310f,30.172104,-97.828607,Dallas,3,Dallas,TX,32.78306,-96.80667,5
user_02017000,42.7831,-71.079872,Andover,0,Andover,MA,42.65843,-71.137,7
user_023b236d,41.52369,-81.537638,Atlanta,0,Atlanta,GA,33.749,-84.38798,4
user_023b236d,41.52369,-81.537638,Cleveland,6,Cleveland,OH,41.4995,-81.69541,9
user_0244a57d,39.016572,-76.700694,Bowie,0,Bowie,MD,38.94278,-76.73028,2
user_02610fd8,40.68951,-73.985435,Providence,0,Providence,RI,41.82399,-71.41283,4
user_03b8fb7a,40.854413,-73.907366,Harlem,0,Harlem,NY,40.80788,-73.94542,3
user_041e2cc5,43.710151,-79.506026,San Diego,0,San Diego,CA,32.71571,-117.16472,2
user_048a2452,40.731878,-74.038008,Manhattan,0,Manhattan,NY,40.78343,-73.96625,4
user_052ef72f,40.595856,-74.270113,Brooklyn,0,Brooklyn,NY,40.6501,-73.94958,7
user_056a2eb2,40.713987,-74.242749,Hampton,0,Hampton,VA,37.02987,-76.34522,9
user_056a2eb2,40.713987,-74.242749,Miami,0,Miami,FL,25.77427,-80.19366,4
user_056a2eb2,40.713987,-74.242749,Brooklyn,0,Brooklyn,NY,40.6501,-73.94958,7
user_060389a4,41.159919,-75.342031,Manhattan,0,Manhattan,NY,40.78343,-73.96625,4
user_067bc0d1,40.67625,-73.741447,Inwood,0,Inwood,NY,40.62205,-73.7468,4
user_067bc0d1,40.67625,-73.741447,Woodmere,0,Woodmere,NY,40.63205,-73.71263,2
user_069f004b,40.815755,-73.91832,Harlem,0,Harlem,NY,40.80788,-73.94542,3
user_069f004b,40.815755,-73.91832,Jamaica,0,Jamaica,NY,40.69149,-73.80569,2
user_08785d86,40.677901,-73.751318,Harlem,0,Harlem,NY,40.80788,-73.94542,3
user_0939608f,40.690345,-73.807965,Lakewood,0,Lakewood,NJ,40.09789,-74.21764,9
user_097f7403,38.591465,-121.288599,Denver,0,Denver,CO,39.73915,-104.9847,4
user_0a36ec73,37.759635,-122.186645,Oakland,0,Oakland,CA,37.80437,-122.2708,14
user_0a4990ad,25.808194,-80.222425,Homestead,0,Homestead,FL,25.46872,-80.47756,2
user_0a851218,41.585599,-81.537931,Memphis,0,Memphis,TN,35.14953,-90.04898,5
